Gender,Age,Academic_degree,Years_Experience,Years_experience_lastorganization,Sector,Department,JobTitle,MonthlySalary,Allowances,MedicalInsurance,Bonus,OverTime,Payment_Overtime,Rewards&Wages_Satisfaction,Get_ Deserved_Promotion,Training_programs_ During_last_three_years,Useful_Training_Programs,Business_Travel,Job_Support,Recognition,Emotional_Commitment,Job_Engagement,Distance_to_work,Work_Live_Balance,Physical_Stress,Psychological_Exhaustion,Job_Stability,Health_Issues,Environment_Satisfaction,Job_Satisfaction,Job_Opportunities,Maritalstatus_married,Maritalstatus_single,Burnout_Score,Stagnation_Score,Disengagement_Score,Compensation_Gap
0,1,1,2,2,0.2813321005719086,0.431284270194226,0.49138655462184877,1,2,1,1,1,3,1,1,2,1,2,2,1,3,2,2,3,0,0,1,0,2,2,0,0,1,0,2,4,1
1,1,2,1,1,0.35537190084412335,0.4690232345327208,0.26520173234237654,2,0,0,0,0,1,1,1,0,0,1,2,1,3,2,2,2,0,0,0,0,1,1,0,0,1,1,2,6,1
1,3,3,5,5,0.7342055546273047,0.58079526080885,0.4413865546218487,3,1,1,1,0,1,1,1,3,1,2,2,1,3,2,2,2,0,0,1,0,2,3,1,0,1,1,5,3,0
1,1,2,2,2,0.25688073438776293,0.2312931317475115,0.18182161337813926,1,0,0,0,0,1,0,0,0,0,1,1,0,1,2,2,2,1,1,0,0,1,1,0,0,1,4,4,8,2
1,2,2,1,1,0.35537190084412335,0.25600486756973356,0.20682309909086197,1,3,0,1,1,1,1,1,3,1,1,3,1,3,2,2,2,1,1,1,0,2,2,0,1,0,3,1,4,1
1,3,1,1,1,0.5055446394403083,0.5277634595901657,0.433182665870381,1,0,1,0,1,3,0,0,0,0,1,2,1,2,2,1,2,1,1,0,0,3,2,0,1,0,3,3,3,3
1,1,2,1,1,0.4979663383385758,0.58079526080885,0.4413865546218487,2,1,1,0,1,2,1,1,0,0,1,1,1,3,1,2,2,1,2,0,0,1,2,0,0,1,4,2,5,2
1,1,2,2,2,0.25688073438776293,0.2312931317475115,0.18182161337813926,2,0,0,0,0,1,1,1,0,0,1,3,1,2,3,2,3,1,1,1,0,2,2,0,1,0,2,3,5,1
1,1,2,2,1,0.35537190084412335,0.25600486756973356,0.46890153959236736,1,0,0,0,1,3,0,0,0,0,1,1,0,1,1,2,1,2,1,0,0,1,1,1,0,1,6,3,8,3
0,2,2,2,2,0.7254294964422535,0.5277634595901657,0.5643102290371507,2,2,1,0,1,2,0,0,2,0,1,2,0,2,2,2,1,0,0,0,0,2,2,1,1,0,3,4,5,3
1,2,3,1,1,0.25688073438776293,0.39240510429015546,0.3485496690247472,1,0,1,0,0,1,0,0,0,0,1,2,0,3,2,3,2,2,1,0,0,1,3,0,1,0,5,3,5,2
1,1,1,2,2,0.5055446394403083,0.5277634595901657,0.4498825798447005,2,3,1,1,1,3,0,0,3,1,1,2,1,2,2,2,1,1,1,0,0,3,2,0,0,0,4,3,4,2
0,3,1,3,2,0.5041293001243747,0.58079526080885,0.39706492052398384,2,0,0,0,0,1,0,0,0,0,1,2,1,2,2,2,2,1,1,0,0,1,1,1,1,0,3,4,7,2
0,1,2,2,2,0.25688073438776293,0.2312931317475115,0.18182161337813926,1,1,1,1,0,1,1,1,2,1,1,3,1,3,2,2,2,1,1,1,0,2,2,1,0,1,3,2,4,0
0,1,2,2,1,0.35537190084412335,0.49472919373841906,0.5188898574495677,2,1,1,1,1,3,1,1,1,1,1,3,1,3,1,3,1,2,2,1,1,3,2,1,0,1,6,1,4,1
0,1,2,1,1,0.35537190084412335,0.25600486756973356,0.4174131178978558,2,0,0,0,1,3,0,0,0,0,1,1,0,2,1,2,1,1,2,0,0,1,1,0,0,1,6,3,7,3
0,1,1,1,1,0.35537190084412335,0.39240510429015546,0.3485496690247472,1,0,1,0,1,3,0,0,2,1,1,2,1,2,2,1,1,0,1,0,0,2,2,0,0,1,3,2,4,3
1,2,1,1,1,0.35537190084412335,0.25600486756973356,0.20682309909086197,1,0,1,0,1,3,1,0,1,1,1,2,1,2,2,1,3,0,0,1,0,3,3,1,1,0,0,2,2,2
1,3,2,3,3,0.25688073438776293,0.2312931317475115,0.18182161337813926,3,0,0,0,0,1,1,0,2,1,2,2,1,2,2,1,3,1,1,1,0,2,2,0,0,1,2,4,4,1
0,1,2,5,5,0.25688073438776293,0.2312931317475115,0.18182161337813926,1,0,1,0,0,1,0,0,1,1,1,2,0,3,3,2,2,2,2,0,0,2,2,0,1,0,6,6,4,2
1,2,2,1,1,0.35537190084412335,0.25600486756973356,0.20682309909086197,1,0,1,1,1,3,1,0,1,1,1,2,1,2,2,2,2,1,1,0,0,2,2,1,1,0,3,2,5,1
0,1,2,2,1,0.5055446394403083,0.5088547359679307,0.4624682586537629,2,2,1,0,0,2,0,0,0,0,1,1,0,1,1,1,2,0,1,0,0,1,2,1,0,1,3,3,6,2
0,1,1,1,1,0.47302101916722367,0.4690232345327208,0.6251162574106005,2,0,1,0,0,1,1,1,2,1,2,3,1,3,2,2,2,1,1,0,0,3,2,1,0,1,3,1,3,1
0,3,2,1,1,0.5041293001243747,0.5277634595901657,0.433182665870381,2,2,1,1,0,1,1,1,1,1,2,3,1,3,2,2,3,0,0,1,0,3,3,0,1,0,0,1,2,0
0,2,3,2,1,0.7254294964422535,0.5277634595901657,0.5643102290371507,2,1,1,1,0,1,0,1,2,1,1,2,1,2,2,2,2,0,1,0,0,2,2,1,1,0,2,1,5,1
1,1,2,2,1,0.35537190084412335,0.5444138749750935,0.557835589399299,1,0,1,1,0,1,0,0,0,0,1,1,1,2,2,1,2,2,2,1,0,2,2,1,0,1,5,3,4,1
1,2,1,2,2,0.35537190084412335,0.4690232345327208,0.6251162574106005,2,2,1,0,0,1,0,0,0,0,1,1,0,1,1,3,1,1,2,0,1,1,1,0,1,0,6,4,9,2
0,1,2,5,5,0.25688073438776293,0.39240510429015546,0.34641529915159075,4,1,0,0,0,1,1,0,1,1,1,1,1,3,3,1,3,1,2,1,0,2,3,0,1,0,3,6,2,1
1,2,2,2,1,0.25688073438776293,0.39240510429015546,0.3485496690247472,2,1,1,0,1,2,0,0,0,0,1,1,0,2,1,3,1,2,2,0,0,2,2,1,0,1,7,3,6,3
0,2,4,2,2,0.25688073438776293,0.2312931317475115,0.4483344683362005,3,1,1,1,1,3,1,1,1,1,2,2,1,3,2,2,2,1,0,1,0,2,3,0,1,0,2,2,3,1
0,1,3,1,1,0.4239590626609834,0.4239590626609834,0.43568790726429607,2,0,1,0,0,2,1,1,0,1,2,2,1,2,2,2,2,0,1,1,0,2,2,0,0,1,2,1,5,1
1,1,2,1,1,0.4979663383385758,0.431284270194226,0.4174131178978558,2,2,1,0,0,1,0,0,0,0,1,2,1,3,3,2,1,2,2,0,0,2,2,0,0,1,6,3,4,2
1,2,1,1,1,0.35537190084412335,0.58079526080885,0.4413865546218487,1,0,0,0,0,1,1,1,0,0,1,1,1,2,2,2,3,0,1,1,0,2,2,0,1,0,1,2,5,1
1,4,4,5,5,0.35537190084412335,0.25600486756973356,0.2774942828349492,7,2,1,0,1,2,1,0,1,1,3,2,1,2,3,3,1,1,1,1,0,2,2,1,1,0,4,6,6,2
0,2,2,1,1,0.5041293001243747,0.40194424112053295,0.40194424112053295,2,2,0,1,0,1,1,0,1,1,1,2,1,2,1,1,3,1,0,0,0,2,1,1,1,0,1,2,5,0
0,1,2,1,1,0.35537190084412335,0.25600486756973356,0.20682309909086197,1,0,0,0,0,1,1,1,3,1,2,3,1,3,3,1,3,0,0,1,0,2,2,0,0,1,0,1,3,1
