Gender,Age,Academic_degree,Years_Experience,Years_experience_lastorganization,Sector,Department,JobTitle,MonthlySalary,Allowances,MedicalInsurance,Bonus,OverTime,Payment_Overtime,Rewards&Wages_Satisfaction,Get_ Deserved_Promotion,Training_programs_ During_last_three_years,Useful_Training_Programs,Business_Travel,Job_Support,Recognition,Emotional_Commitment,Job_Engagement,Distance_to_work,Work_Live_Balance,Physical_Stress,Psychological_Exhaustion,Job_Stability,Health_Issues,Environment_Satisfaction,Job_Satisfaction,Job_Opportunities,Maritalstatus_married,Maritalstatus_single,Salary_per_Experience,Opportunity_Training_Score,Experience_Gap_LastOrg
1,2,1,2,2,0.3584433773509404,0.4660791145726583,0.6016588453563244,2,2,1,0,0,1,0,0,0,0,1,1,0,1,1,3,1,1,2,0,1,1,1,0,1,0,0.6666666666666666,0,0
0,1,2,5,5,0.2645953118089341,0.3948079231692677,0.3559969442322384,4,1,0,0,0,1,1,0,1,1,1,1,1,3,3,1,3,1,2,1,0,2,3,0,1,0,0.6666666666666666,0,0
1,2,2,2,1,0.2645953118089341,0.3948079231692677,0.35792094615624026,2,1,1,0,1,2,0,0,0,0,1,1,0,2,1,3,1,2,2,0,0,2,2,1,0,1,0.6666666666666666,0,1
0,2,4,2,2,0.2645953118089341,0.24412567574800623,0.46265172735760973,3,1,1,1,1,3,1,1,1,1,2,2,1,3,2,2,2,1,0,1,0,2,3,0,1,0,1.0,0,0
0,1,3,1,1,0.41638655462184876,0.41638655462184876,0.43830163644405135,2,0,1,0,0,2,1,1,0,1,2,2,1,2,2,2,2,0,1,1,0,2,2,0,0,1,1.0,0,0
1,1,2,1,1,0.5096391497775582,0.43032212885154064,0.4098254686489981,2,2,1,0,0,1,0,0,0,0,1,2,1,3,3,2,1,2,2,0,0,2,2,0,0,1,1.0,0,0
1,2,1,1,1,0.3584433773509404,0.5693277310924371,0.4442577030812325,1,0,0,0,0,1,1,1,0,0,1,1,1,2,2,2,3,0,1,1,0,2,2,0,1,0,0.5,0,0
1,4,4,5,5,0.3584433773509404,0.2690943043884221,0.2762861242057799,7,2,1,0,1,2,1,0,1,1,3,2,1,2,3,3,1,1,1,1,0,2,2,1,1,0,1.1666666666666667,1,0
0,2,2,1,1,0.4986849701712746,0.378533231474408,0.378533231474408,2,2,0,1,0,1,1,0,1,1,1,2,1,2,1,1,3,1,0,0,0,2,1,1,1,0,1.0,1,0
0,1,2,1,1,0.3584433773509404,0.2690943043884221,0.23581124757595348,1,0,0,0,0,1,1,1,3,1,2,3,1,3,3,1,3,0,0,1,0,2,2,0,0,1,0.5,0,0
1,2,2,2,2,0.6887955182072829,0.3948079231692677,0.5737628384687209,2,1,1,0,1,3,1,1,2,1,2,3,1,3,2,2,2,1,1,1,0,3,3,0,1,0,0.6666666666666666,0,0
1,2,2,2,2,0.2645953118089341,0.3948079231692677,0.3559969442322384,3,2,1,1,1,3,1,1,3,1,2,3,1,3,2,2,2,1,0,1,0,2,3,0,1,0,1.0,0,0
1,2,2,2,2,0.4986849701712746,0.6229448301059555,0.638655462184874,2,3,1,1,1,3,1,1,3,1,1,3,1,3,2,2,2,1,0,1,0,3,3,1,1,0,0.6666666666666666,3,0
1,2,2,2,2,0.3584433773509404,0.2690943043884221,0.24042950513538752,4,1,1,1,0,3,1,0,0,0,2,2,1,3,2,2,1,2,2,1,1,2,2,1,1,0,1.3333333333333333,0,0
0,1,2,1,1,0.6887955182072829,0.43032212885154064,0.5109243697478992,2,2,1,0,0,1,0,0,0,0,1,1,0,3,1,1,1,2,2,0,0,2,1,1,0,1,1.0,0,0
0,2,2,2,1,0.5096391497775582,0.5567968363816115,0.4843391902215432,3,2,1,1,1,3,0,0,1,1,3,2,1,3,2,2,1,2,2,1,0,2,3,1,1,0,1.0,1,1
0,3,3,5,5,0.2645953118089341,0.24412567574800623,0.1994910640312463,1,0,0,0,0,2,1,0,2,0,1,2,1,2,1,1,2,0,0,0,0,2,2,0,1,0,0.1666666666666666,0,0
1,1,2,2,1,0.3584433773509404,0.5818259507192708,0.6030412164865947,2,0,1,0,0,1,0,0,1,1,1,3,1,2,2,1,2,0,0,0,0,2,2,1,0,1,0.6666666666666666,1,1
1,2,2,2,2,0.2645953118089341,0.3948079231692677,0.3559969442322384,2,0,1,1,0,2,1,1,1,1,1,2,1,3,1,2,3,0,0,1,0,2,3,0,1,0,0.6666666666666666,0,0
1,3,3,2,2,0.7065546218487395,0.5818259507192708,0.37221947602570443,3,2,1,0,1,2,0,0,1,1,2,2,1,2,2,1,2,1,1,0,0,2,2,1,1,0,1.0,1,0
1,1,2,2,2,0.3584433773509404,0.2690943043884221,0.23581124757595348,1,2,0,0,0,1,0,0,0,0,1,1,0,1,2,1,2,1,2,0,0,1,1,0,0,1,0.3333333333333333,0,0
1,1,2,1,1,0.49825991002461595,0.4660791145726583,0.6016588453563244,1,0,1,0,1,2,0,0,1,1,1,2,0,2,2,2,1,2,2,0,0,2,1,1,0,1,0.5,1,0
