Gender,Age,Academic_degree,Years_Experience,Years_experience_lastorganization,Sector,Department,JobTitle,MonthlySalary,Allowances,MedicalInsurance,Bonus,OverTime,Payment_Overtime,Rewards&Wages_Satisfaction,Get_ Deserved_Promotion,Training_programs_ During_last_three_years,Useful_Training_Programs,Business_Travel,Job_Support,Recognition,Emotional_Commitment,Job_Engagement,Distance_to_work,Work_Live_Balance,Physical_Stress,Psychological_Exhaustion,Job_Stability,Health_Issues,Environment_Satisfaction,Job_Satisfaction,Job_Opportunities,Maritalstatus_married,Maritalstatus_single
1,1,2,1,1,7,8,58,2,0,0,0,0,1,0,0,3,0,1,1,1,2,2,2,2,0,0,0,0,2,3,0,0,1
0,1,1,2,1,12,9,26,2,1,1,0,1,2,0,0,1,1,2,2,1,2,1,2,2,0,1,0,0,2,2,1,0,1
1,1,2,2,1,11,0,0,2,2,1,1,1,3,0,0,1,0,1,1,1,1,2,2,1,1,2,0,0,1,1,1,0,1
1,1,2,1,1,0,13,11,1,2,1,1,0,1,0,0,1,1,1,3,1,2,2,1,3,2,1,0,0,2,1,1,0,1
1,2,2,3,2,7,8,58,1,1,1,0,0,1,0,0,1,1,1,1,0,2,2,1,2,2,0,0,0,2,1,1,1,0
1,1,2,1,1,3,2,13,2,3,1,1,0,1,0,0,0,0,1,1,0,2,2,2,2,2,2,0,0,2,2,0,0,1
1,1,1,1,1,3,2,36,1,0,0,0,0,1,0,0,0,0,1,1,0,1,3,1,2,1,1,0,1,1,1,0,0,1
1,1,2,1,1,13,15,4,1,1,1,0,1,2,0,0,0,0,1,1,0,2,2,2,2,2,2,0,1,1,1,0,0,1
0,1,2,1,1,11,6,50,2,1,1,0,0,1,1,0,1,1,2,2,1,2,1,2,3,0,1,0,0,2,2,0,0,1
1,1,2,1,1,7,8,58,1,0,0,0,0,1,0,0,0,0,1,1,0,1,2,2,2,2,2,0,0,1,1,0,0,1
1,1,2,1,1,12,6,52,1,1,1,0,1,3,0,0,0,0,1,2,0,1,1,2,2,2,1,1,0,2,2,0,0,1
0,2,2,1,1,11,0,0,2,1,1,0,0,1,1,0,0,0,1,2,1,1,1,1,2,0,0,1,0,3,2,0,1,0
1,1,1,2,2,3,13,46,2,0,0,0,0,1,1,1,0,1,1,3,1,2,2,1,2,1,0,1,1,2,2,0,0,1
1,1,2,1,1,11,13,11,2,2,1,1,1,3,1,1,3,1,2,2,1,3,2,2,2,0,0,1,0,3,3,0,1,0
0,3,3,3,1,3,1,2,2,1,1,0,0,2,0,0,0,0,1,2,1,3,3,3,2,0,2,0,0,2,2,0,1,0
1,2,2,2,2,3,19,33,1,1,1,0,1,3,1,1,2,1,1,3,1,3,3,2,3,1,1,1,0,3,3,1,1,0
1,1,3,1,1,3,0,0,3,2,1,1,0,1,1,1,1,1,2,2,1,2,2,2,2,0,0,1,0,2,2,0,0,1
1,2,2,1,1,11,12,5,2,2,1,1,0,1,0,0,1,1,2,2,0,3,2,1,2,2,2,0,0,1,2,0,1,0
1,2,1,1,1,7,8,58,1,0,0,0,0,1,0,0,0,0,1,1,1,2,2,1,2,1,0,0,0,3,3,1,1,0
0,1,2,1,1,3,19,38,2,1,1,0,1,3,0,0,3,1,1,3,0,3,3,3,3,2,2,1,0,3,3,1,0,1
1,2,2,2,2,7,8,58,2,0,1,0,0,1,0,1,0,1,1,1,1,2,2,2,2,0,0,1,0,2,2,0,1,0
1,2,3,2,1,7,8,58,1,0,0,1,0,1,0,0,1,1,1,1,1,3,2,2,1,2,2,0,0,2,2,0,1,0
1,1,1,1,1,0,13,11,1,0,0,0,0,1,0,0,3,0,1,1,1,2,2,1,3,0,0,0,0,2,1,0,1,0
1,3,1,1,1,12,5,55,1,0,0,0,0,2,0,1,0,0,1,2,1,3,3,1,3,1,2,1,0,3,3,1,1,0
0,1,1,1,1,1,4,48,2,0,1,0,0,1,0,0,2,1,1,2,1,2,2,3,2,0,1,0,0,2,2,0,0,1
0,2,3,2,2,7,8,58,2,4,1,1,1,3,1,1,3,1,1,3,1,3,2,2,2,0,0,1,0,2,3,1,1,0
1,1,2,1,1,3,19,33,2,1,0,0,1,3,0,0,1,0,1,2,0,2,3,3,2,1,1,1,0,2,2,0,0,1
0,1,2,1,1,0,6,51,2,1,0,0,1,2,0,0,3,0,1,1,0,2,2,2,3,1,2,0,0,2,2,0,0,1
0,2,1,2,1,0,9,26,1,0,1,0,0,1,0,0,2,1,2,1,0,2,2,1,2,1,1,0,0,2,2,0,0,1
0,2,3,2,1,8,1,2,3,1,1,1,1,3,1,1,1,1,3,3,1,3,3,3,1,2,2,1,1,3,3,1,1,0
1,3,2,6,6,7,1,2,4,0,0,0,0,1,0,0,2,1,2,2,1,3,3,1,3,0,1,1,0,3,3,0,0,0
0,3,2,4,1,12,2,43,2,0,0,0,0,2,0,0,0,0,2,1,0,3,1,2,1,2,2,0,0,1,1,0,1,0
0,3,2,1,1,11,12,5,2,2,1,1,0,1,0,0,1,1,2,3,0,3,3,1,3,0,2,1,0,3,3,0,1,0
1,2,2,2,2,7,8,58,2,1,0,0,0,2,0,0,2,0,1,1,0,1,3,2,2,0,0,0,0,1,1,0,1,0
1,1,1,1,1,6,6,42,1,3,1,1,1,3,1,1,3,1,2,3,1,2,3,1,3,1,1,0,0,2,2,1,0,1
0,1,3,1,1,8,15,26,3,2,1,0,1,3,0,0,0,0,1,1,1,3,2,2,1,1,2,0,0,2,2,1,0,1
0,2,2,2,2,3,19,38,2,1,1,0,1,3,0,0,3,1,1,1,0,1,2,2,1,2,2,0,0,1,1,0,1,0
0,1,2,1,1,7,8,58,2,0,0,0,0,1,1,0,0,0,1,2,1,1,3,1,3,1,1,1,0,2,3,0,1,0
0,1,2,2,2,0,13,11,2,1,1,0,1,2,0,0,1,1,1,2,1,2,2,3,1,2,2,0,1,2,2,0,0,1
1,1,1,2,2,12,6,51,1,2,1,1,1,3,0,1,2,1,1,2,1,2,2,2,2,2,2,0,0,1,2,1,0,1
1,2,2,2,1,7,8,58,1,0,1,0,0,1,0,0,0,0,1,1,1,3,2,1,1,2,1,0,1,2,2,0,1,0
0,1,1,1,1,3,13,46,2,0,1,0,1,3,1,1,2,1,1,3,1,3,2,2,2,0,0,1,0,2,2,0,0,1
0,2,2,3,3,6,1,2,3,1,1,1,1,3,1,1,0,1,2,3,1,3,2,2,2,1,1,1,0,2,2,1,1,0
1,1,2,1,1,3,19,15,2,1,1,0,0,2,0,0,0,0,1,2,0,2,2,1,1,2,2,0,0,2,1,0,1,0
1,3,4,4,4,3,1,57,4,4,1,1,1,3,1,1,3,1,1,3,1,3,2,2,3,1,1,1,0,3,3,0,1,0
1,1,2,1,1,3,14,24,2,2,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,2,2,1,0,2,1,0,0,1
0,1,1,1,1,10,2,16,1,1,1,1,1,3,1,1,1,1,3,1,1,1,3,1,3,2,2,1,1,1,3,1,1,0
0,2,2,2,1,8,2,17,3,2,1,1,1,3,1,0,0,0,1,2,1,3,2,3,2,1,1,0,0,3,2,0,0,1
1,1,1,2,1,3,13,11,2,0,1,1,0,1,0,0,1,1,1,2,1,2,1,2,1,1,1,0,0,2,2,1,0,1
1,1,2,2,2,7,8,58,2,0,0,0,0,1,1,0,0,0,1,2,0,2,2,3,2,0,0,0,0,1,2,0,0,1
1,1,2,3,2,0,13,57,1,2,1,0,0,1,0,0,0,0,1,1,0,1,2,3,2,0,1,0,0,1,3,1,1,0
0,2,1,3,1,11,5,55,1,1,0,0,0,1,1,0,0,0,1,3,1,3,2,2,3,2,0,0,1,3,2,0,1,0
0,1,2,1,1,1,1,30,2,1,1,1,0,1,1,0,1,1,1,3,1,2,1,2,2,0,0,1,1,2,2,1,0,1
1,2,1,1,1,1,6,52,1,1,1,1,0,1,1,1,1,1,1,2,0,2,1,2,3,2,2,1,0,2,2,1,1,0
1,2,3,2,1,12,1,2,2,2,1,0,1,2,1,0,0,0,2,2,0,3,1,3,1,0,2,0,0,2,2,0,0,1
1,1,1,1,1,11,6,51,2,2,0,0,0,1,0,0,1,1,1,3,1,3,2,2,2,1,1,0,0,3,1,1,0,1
0,2,4,3,3,3,1,2,3,3,1,1,1,3,1,1,2,1,1,3,1,3,2,1,3,1,0,1,1,3,3,0,1,0
1,1,1,1,1,3,13,46,1,0,0,0,0,1,0,0,0,0,1,2,0,2,1,2,2,1,2,0,0,2,1,0,0,1
0,1,2,1,1,3,19,15,1,1,1,0,1,3,0,0,0,0,3,1,0,1,2,2,2,2,2,0,0,2,1,1,0,1
1,1,2,1,1,3,19,15,1,1,0,1,1,3,0,1,1,1,2,2,1,2,2,3,2,2,2,1,1,2,2,1,0,1
1,2,2,4,1,7,8,58,1,0,0,0,0,3,0,0,1,1,1,1,0,1,2,1,2,1,2,0,1,1,1,1,0,0
0,1,1,2,2,11,0,1,2,1,1,1,1,3,0,1,2,1,1,2,0,2,2,1,2,0,1,0,0,2,2,1,1,0
1,1,2,1,1,5,1,57,1,0,0,0,0,1,0,0,0,0,1,2,1,2,2,2,1,2,1,0,0,2,3,1,0,1
1,1,1,1,1,0,13,11,2,0,1,1,1,3,0,0,1,1,1,2,0,1,1,2,2,0,0,0,0,2,2,0,0,1
1,2,2,1,1,3,14,24,2,2,1,0,0,1,1,1,1,1,1,1,1,3,2,3,2,1,1,1,0,3,2,0,1,0
0,3,2,3,3,7,0,0,1,2,1,1,1,3,0,0,0,0,1,1,0,3,1,3,2,2,2,0,0,2,2,1,1,0
1,1,2,1,1,12,1,2,1,3,1,0,1,2,0,0,0,0,1,1,0,2,2,1,2,2,2,0,0,2,1,1,0,1
0,2,2,2,1,8,2,18,3,2,1,0,0,1,0,0,0,0,1,2,0,1,2,3,2,0,0,0,0,3,2,1,0,1
0,2,2,2,1,11,14,23,2,1,1,1,1,3,1,1,1,1,1,3,1,2,2,2,2,0,1,1,0,3,3,1,0,1
0,2,3,2,2,11,14,23,3,1,1,1,0,1,1,1,2,1,2,2,1,2,2,1,2,0,1,1,0,2,2,1,1,0
1,1,2,1,1,7,1,30,1,0,0,0,0,1,0,0,0,0,1,1,1,2,2,2,3,1,2,0,0,1,2,0,0,1
1,2,2,1,1,3,19,15,7,2,0,0,1,3,1,1,1,1,1,2,1,2,2,3,2,1,1,1,0,2,2,1,1,0
0,1,2,1,1,11,0,0,3,2,1,0,1,2,0,0,0,0,1,2,1,2,2,2,2,1,1,1,0,3,2,1,0,1
1,1,2,2,1,7,8,58,1,0,1,0,1,2,0,0,2,1,1,1,0,3,3,2,3,2,2,0,0,2,2,1,1,0
1,1,2,1,1,0,13,11,1,1,0,1,0,1,0,0,0,0,2,1,0,1,2,1,3,2,2,0,1,1,1,1,0,1
0,1,2,1,1,3,19,38,1,2,1,0,1,3,0,0,1,1,1,2,0,1,2,1,1,2,2,0,1,2,1,0,0,1
1,2,2,2,2,2,1,2,3,1,1,1,1,3,1,1,1,1,3,3,1,2,3,3,1,0,1,1,1,3,3,1,1,0
0,2,1,3,3,11,1,2,2,0,1,0,0,1,1,1,0,0,2,2,1,3,3,1,2,0,0,1,0,3,3,0,1,0
1,1,3,1,1,7,8,58,1,0,1,0,0,1,0,0,1,0,1,1,0,1,2,2,1,2,2,0,0,1,1,0,0,1
0,1,2,1,1,12,2,44,3,2,1,1,0,1,0,0,0,0,1,2,1,3,3,1,2,1,0,1,0,3,2,1,0,1
1,2,1,1,1,3,19,33,1,0,0,0,1,3,1,1,0,1,1,3,1,2,2,1,3,0,1,0,0,1,1,1,0,1
1,2,2,2,2,7,1,2,2,0,1,0,0,1,1,1,3,1,1,2,1,3,3,1,3,1,0,1,0,2,2,0,1,0
1,1,2,1,1,0,13,11,1,0,1,0,0,1,0,0,1,1,1,2,1,3,1,3,1,0,0,1,0,3,2,1,0,1
0,3,1,3,1,3,5,55,1,2,1,0,1,3,1,0,0,0,1,1,1,2,2,2,3,0,2,1,1,2,2,0,1,0
1,1,2,2,1,12,6,52,1,2,1,1,1,3,0,0,1,1,1,2,0,2,2,1,2,2,2,0,0,2,1,1,0,1
0,2,2,2,2,13,1,2,2,1,1,1,1,3,1,1,1,1,2,3,1,3,2,1,3,0,2,1,0,3,3,0,1,0
1,1,2,1,1,9,14,24,1,2,0,0,0,1,0,0,0,0,1,1,0,1,1,2,3,0,2,0,0,1,1,0,0,1
0,3,2,2,2,7,8,58,1,2,1,0,0,2,0,0,1,1,1,2,1,2,2,1,2,2,2,0,0,2,2,0,1,0
1,2,2,2,2,3,19,33,1,0,0,0,0,1,0,0,0,0,1,1,0,1,2,2,2,1,1,0,0,1,1,0,1,0
0,1,1,1,1,12,6,50,1,0,0,0,1,3,0,0,0,0,1,1,1,2,2,1,2,2,1,0,0,3,2,0,0,1
0,2,3,2,2,7,8,29,3,1,1,1,0,1,1,1,1,1,1,2,1,2,2,3,2,0,1,1,0,2,2,1,1,0
1,3,1,3,3,7,1,30,2,1,1,0,0,2,1,0,3,1,1,3,1,3,3,1,3,1,0,1,0,3,3,0,0,0
1,2,2,1,1,3,19,33,1,3,1,1,0,2,0,0,0,0,1,2,0,2,2,2,2,2,1,0,0,2,2,1,1,0
0,1,2,1,1,3,19,14,1,0,0,0,0,1,0,1,1,0,1,2,1,1,2,2,2,2,2,0,1,2,2,1,0,1
0,2,2,2,2,6,17,31,2,2,1,0,0,1,0,0,1,1,1,2,1,3,1,3,1,2,2,0,0,2,2,1,1,0
1,1,1,2,2,0,13,46,1,1,1,1,1,1,1,1,3,1,2,3,1,3,2,2,2,1,0,1,1,2,2,1,0,1
0,2,1,3,3,11,0,1,2,2,1,1,0,3,1,0,0,0,1,2,1,2,1,3,1,2,2,0,0,2,2,0,1,0
1,1,1,2,2,12,6,57,1,3,1,0,1,3,0,1,0,0,1,1,0,2,3,2,2,2,1,0,0,2,2,1,0,1
1,1,1,1,1,11,6,57,1,1,1,0,1,2,0,0,0,0,1,2,0,2,2,3,2,2,2,1,0,2,2,0,0,1
0,2,2,2,2,10,6,42,3,1,1,0,0,1,1,1,1,1,2,2,1,2,1,2,2,1,1,1,0,2,2,1,1,0
1,1,2,1,1,3,13,46,1,0,1,1,1,3,0,0,1,0,1,1,0,1,3,1,2,2,2,0,0,1,1,1,0,1
1,1,1,2,2,12,6,50,2,3,1,1,1,3,1,1,1,1,2,2,1,2,2,2,2,2,2,1,0,2,3,1,0,1
1,2,2,2,1,7,8,58,2,1,1,0,1,2,0,0,0,0,1,1,0,1,1,2,3,2,2,0,0,2,1,1,1,0
1,1,2,2,1,3,19,46,1,1,1,0,1,3,0,0,0,0,1,2,0,1,2,2,2,1,2,0,0,1,1,0,0,1
0,2,2,2,2,7,8,58,1,0,0,0,0,1,1,0,0,0,1,2,0,2,2,2,2,0,0,1,0,2,2,0,1,0
0,2,1,1,1,12,3,39,1,3,1,1,1,3,1,1,1,1,2,3,1,2,3,1,3,0,0,1,0,3,3,1,1,0
1,1,2,1,1,11,6,51,2,3,1,1,1,3,1,1,1,1,1,3,1,3,2,2,2,0,0,1,0,2,3,0,0,1
1,1,1,2,1,11,6,51,2,3,1,1,0,1,0,0,0,0,1,2,0,1,3,2,3,0,0,0,0,3,3,1,1,0
1,2,2,3,1,11,17,31,1,2,1,0,0,2,0,0,1,1,2,1,0,1,2,2,2,0,0,0,0,2,1,1,1,0
1,3,2,4,4,7,8,58,3,1,0,0,0,1,1,1,2,1,1,2,1,2,2,1,2,1,0,1,0,2,2,0,1,0
0,1,4,1,1,3,2,36,2,4,1,1,1,3,1,1,2,1,2,2,1,3,2,3,2,1,0,1,0,3,2,1,1,0
1,3,2,1,1,7,1,2,1,0,0,0,0,1,1,0,0,0,1,1,0,3,2,1,2,0,1,0,0,2,1,1,1,0
1,2,2,1,1,7,15,26,1,0,0,0,0,1,0,0,0,0,1,2,0,3,2,2,1,1,1,0,0,1,1,0,1,0
0,2,2,2,1,11,12,5,2,2,1,0,1,1,0,0,1,0,1,1,0,1,1,3,2,2,1,0,0,1,1,1,1,0
0,1,1,1,1,12,0,0,1,2,1,0,1,3,0,0,1,1,1,2,1,3,2,2,2,2,0,0,0,3,2,1,0,1
0,1,2,2,1,11,1,20,3,2,1,1,0,1,1,1,1,1,1,3,1,2,3,3,2,1,1,1,0,2,2,1,0,1
1,1,2,1,1,11,12,5,2,2,1,1,1,1,1,1,1,1,1,2,1,2,2,2,1,2,2,0,0,1,2,1,1,0
0,1,2,2,2,8,2,36,2,2,1,1,1,3,1,1,3,1,1,3,1,3,2,2,3,1,0,1,0,3,3,1,1,0
0,2,2,2,1,3,19,38,2,1,1,1,1,3,0,0,1,1,1,2,0,3,2,3,2,2,2,1,0,2,1,1,1,0
0,1,1,1,1,8,5,55,1,1,0,0,0,1,1,0,0,0,1,3,1,3,3,1,3,0,0,1,0,3,3,0,0,1
1,2,2,2,2,11,4,48,3,2,1,1,0,2,0,0,1,0,1,1,0,1,1,1,1,2,2,0,0,1,1,0,0,1
1,2,2,1,1,3,19,33,1,2,1,1,1,2,1,1,2,1,2,3,1,3,2,2,2,0,0,1,1,2,2,1,1,0
1,1,2,1,1,11,17,31,2,2,1,1,0,1,1,0,1,1,1,2,1,3,2,1,2,0,1,1,0,2,2,0,0,1
1,1,1,1,1,10,0,0,2,0,0,0,0,1,0,0,0,0,1,1,0,1,3,1,3,1,1,0,0,1,2,0,0,1
1,1,3,1,1,3,14,24,2,2,1,0,0,1,0,1,1,1,1,2,0,1,2,3,1,1,1,0,0,2,2,1,0,1
1,1,2,1,1,14,16,11,2,1,1,0,1,3,0,0,1,1,1,2,1,3,2,3,2,0,2,0,0,2,2,0,0,1
1,1,2,1,1,12,0,0,1,0,0,0,1,2,0,0,0,0,1,1,0,1,1,1,1,2,2,0,0,2,1,0,0,1
1,1,1,2,1,13,6,57,1,1,1,0,1,3,0,0,1,1,3,1,1,3,3,3,3,2,2,0,0,1,1,1,0,1
1,1,2,1,1,8,0,0,2,0,1,1,0,1,0,0,1,1,1,2,1,2,2,2,1,0,0,0,0,2,2,1,0,1
1,2,2,1,1,7,1,30,1,0,1,0,1,2,0,1,0,0,1,1,1,3,2,1,2,2,0,0,0,1,2,0,1,0
1,2,1,1,1,3,2,25,1,0,0,0,0,3,0,0,0,0,1,1,0,1,1,2,1,2,2,0,0,1,1,0,0,1
1,2,1,2,2,12,6,52,1,1,1,1,1,3,0,0,1,0,1,2,0,2,2,2,2,2,2,0,0,2,1,0,0,0
0,1,2,2,1,3,0,0,2,2,1,0,0,1,0,1,1,1,1,2,1,2,1,2,2,1,1,0,0,2,2,1,0,1
0,2,3,2,1,11,14,24,3,2,1,1,0,1,1,1,1,1,2,3,1,3,3,2,2,0,1,1,1,3,3,1,1,0
0,1,2,1,1,13,6,42,2,3,1,1,1,2,0,0,1,1,2,2,0,2,2,3,2,1,0,1,0,2,2,0,0,1
1,1,2,1,1,13,2,44,2,2,0,0,0,1,0,0,1,1,1,2,0,3,1,3,1,2,2,0,0,2,1,0,1,0
1,1,2,1,1,11,6,52,2,2,1,0,0,2,0,0,3,1,1,1,0,3,2,1,3,1,2,0,0,1,2,0,1,0
0,1,2,2,1,12,6,42,2,1,1,1,0,1,1,1,1,1,2,2,1,2,2,1,2,0,0,1,1,2,2,1,1,0
1,1,1,1,1,0,13,11,1,0,0,1,1,2,1,1,2,1,1,3,1,2,2,2,1,2,1,1,0,3,3,1,0,1
1,1,2,1,1,3,19,33,1,0,0,0,1,2,0,0,1,1,1,1,0,2,1,1,1,1,1,0,0,1,1,0,0,1
1,2,2,1,1,3,19,33,1,0,1,1,0,2,1,0,1,1,1,2,1,2,2,2,2,1,1,1,0,2,2,0,0,1
0,2,2,2,2,7,1,2,2,0,1,0,1,3,1,1,0,1,1,3,1,2,2,3,1,0,1,1,0,2,2,0,1,0
0,1,3,2,1,11,6,50,2,2,1,1,0,1,1,1,1,1,2,2,1,2,2,2,3,0,1,1,0,2,2,1,1,0
0,2,1,1,1,1,6,52,1,1,1,0,0,1,0,0,0,0,1,2,0,3,1,2,2,2,2,0,0,2,2,0,0,1
0,1,1,1,1,6,6,42,1,2,1,1,1,3,1,1,1,1,3,3,1,3,2,1,3,1,1,1,0,2,3,0,0,1
0,2,1,2,2,12,13,46,2,1,1,0,0,1,1,1,1,1,1,3,1,3,2,1,2,0,0,1,1,3,3,0,1,0
1,3,1,4,4,7,1,57,1,2,1,1,0,1,1,1,2,1,1,2,1,3,3,2,2,1,0,1,0,3,3,0,1,0
0,2,3,2,2,3,19,33,1,3,1,1,1,3,1,1,2,1,2,3,1,3,2,2,2,0,0,1,0,2,2,1,1,0
0,1,1,1,1,11,13,11,2,0,1,0,0,1,1,1,1,1,1,2,1,2,2,1,2,1,1,0,0,2,2,1,0,1
0,1,2,1,1,7,8,58,1,0,0,0,0,1,0,0,0,0,1,1,0,1,2,3,2,2,1,0,0,1,1,0,0,1
0,2,2,3,3,11,14,24,3,1,0,1,0,1,1,1,0,0,1,2,1,2,2,1,2,1,2,1,0,2,2,0,0,1
1,1,2,1,1,3,13,46,1,0,0,0,0,1,0,0,0,0,1,1,0,1,2,1,3,1,2,0,0,1,1,0,1,0
1,1,2,1,1,7,8,58,1,0,0,0,0,1,1,0,3,1,1,2,1,3,2,3,2,2,0,1,0,3,3,0,0,1
0,1,2,1,1,3,13,11,1,0,0,0,0,1,0,0,0,0,1,1,0,1,2,1,2,2,2,0,1,1,1,0,0,1
0,1,2,1,1,7,8,58,1,0,0,0,0,1,0,0,1,0,3,3,1,3,1,3,1,0,2,1,0,3,3,1,0,1
1,2,2,2,2,7,8,58,3,0,0,0,0,1,1,1,3,1,1,2,1,3,2,2,2,1,1,1,0,2,3,1,1,0
1,1,1,1,1,1,6,51,1,1,1,1,1,3,0,0,0,1,1,1,0,1,2,3,2,2,2,0,0,1,1,0,0,1
0,1,3,1,1,3,13,46,2,2,1,1,1,3,1,1,1,1,1,3,1,3,3,1,3,1,1,1,0,2,2,0,1,0
1,2,2,1,1,3,19,33,1,0,1,0,0,2,1,1,0,0,2,2,1,3,3,1,3,0,0,1,0,3,3,1,0,1
0,2,3,2,2,6,0,0,3,4,1,1,1,3,1,1,3,1,3,3,1,3,3,2,2,0,0,1,0,2,3,0,1,0
1,1,2,2,1,3,15,4,2,0,1,0,0,2,0,0,0,0,1,2,1,1,2,2,1,2,2,0,1,2,2,1,1,0
1,2,2,3,1,3,1,2,1,2,1,0,0,1,0,0,0,0,1,1,1,1,2,1,3,1,1,0,0,1,1,1,0,1
0,2,4,3,1,3,19,38,1,2,0,0,1,3,1,0,1,1,1,2,1,3,3,1,2,2,1,1,0,3,2,1,1,0
1,1,2,2,1,0,9,26,2,1,1,0,0,1,1,0,2,1,1,2,1,2,2,3,1,2,2,0,0,2,2,1,0,1
1,2,2,1,1,7,13,11,1,2,1,0,0,1,0,1,1,1,2,3,1,3,3,1,2,0,1,1,0,3,3,1,1,0
1,2,3,3,3,7,8,29,2,1,0,0,0,1,0,0,2,0,1,1,0,1,3,2,1,2,2,0,0,2,1,0,0,1
1,1,2,1,1,1,6,51,1,1,1,1,1,3,0,0,1,0,1,1,0,1,1,2,2,2,2,0,1,2,1,0,0,1
1,3,2,6,6,7,8,58,1,1,0,1,0,1,1,1,3,1,1,3,1,3,3,2,3,1,0,1,0,3,3,0,1,0
1,3,2,3,3,7,8,58,2,0,0,0,0,2,1,0,3,0,1,2,1,2,3,1,2,1,0,1,0,3,2,0,1,0
0,1,2,2,1,7,8,58,2,0,1,0,0,1,0,0,1,0,1,1,0,1,3,2,1,2,2,0,0,2,1,0,1,0
0,2,3,2,2,8,0,0,2,1,1,1,0,1,1,0,1,1,1,3,1,3,2,2,2,0,1,0,0,2,2,0,1,0
0,3,2,3,3,7,8,58,1,2,1,0,0,3,1,1,2,1,1,3,1,3,3,1,2,2,0,1,0,3,2,0,1,0
1,2,2,1,1,3,13,46,2,0,1,0,0,1,1,1,2,1,1,3,1,3,3,1,2,1,1,1,0,2,2,0,1,0
1,1,2,1,1,12,6,51,1,2,1,1,1,3,0,0,1,0,1,1,1,2,2,2,2,1,1,0,0,2,2,1,0,1
0,2,3,2,2,11,0,1,3,1,1,1,0,1,1,1,3,1,2,2,1,3,2,3,2,0,0,1,0,2,2,1,0,1
1,1,2,2,1,0,6,50,2,1,1,0,0,1,0,0,1,1,1,2,1,2,2,3,1,2,1,1,1,2,2,1,1,0
1,1,2,1,1,3,9,26,1,0,0,0,1,2,0,0,1,1,1,1,0,1,3,3,1,2,2,0,1,1,2,0,0,1
0,2,2,2,2,7,6,51,1,2,1,0,0,1,0,0,1,1,2,2,1,3,2,1,2,0,0,0,0,2,2,0,1,0
1,1,2,2,1,7,8,58,2,1,0,0,0,1,0,0,0,0,1,2,1,2,2,1,3,2,2,0,0,1,1,1,1,0
1,2,1,1,1,9,13,11,1,0,1,1,1,3,0,0,0,0,1,1,0,1,2,3,2,2,2,0,1,2,1,1,0,1
1,1,2,1,1,7,1,30,1,2,1,0,1,2,1,0,1,1,1,3,1,1,1,1,3,2,0,0,0,2,2,0,1,0
1,1,3,1,1,14,16,28,2,1,0,0,0,1,0,0,1,1,1,2,0,1,2,2,3,0,2,1,0,3,2,1,1,0
0,1,2,1,1,3,19,38,1,1,1,0,1,3,0,0,1,0,1,2,0,2,2,2,2,2,2,0,0,2,2,0,1,0
1,1,3,1,1,3,1,24,2,2,1,1,1,3,1,1,2,1,2,3,1,3,2,2,2,0,0,1,0,3,3,0,0,1
0,1,2,2,2,3,19,33,2,4,1,1,1,3,1,1,2,1,2,3,1,3,2,2,2,0,0,1,0,3,3,1,0,1
0,3,2,4,4,7,8,58,1,2,1,0,0,2,1,0,1,1,2,2,1,3,2,1,3,1,0,0,0,3,2,0,1,0
0,1,2,1,1,7,8,58,1,1,1,0,0,2,0,0,1,1,2,2,0,2,2,2,2,2,2,1,0,2,2,0,0,1
0,2,2,2,2,1,2,53,2,1,0,0,1,3,0,0,0,0,1,2,0,2,1,1,2,1,1,0,0,1,1,1,0,0
0,2,3,2,2,7,8,58,1,0,1,1,0,1,1,1,3,1,1,2,1,3,1,1,3,1,0,1,0,2,3,0,1,0
0,1,2,2,2,6,9,18,2,4,1,1,1,3,1,1,0,1,1,3,1,3,2,2,2,0,0,1,0,2,3,0,1,0
1,1,1,1,1,3,13,46,1,0,0,0,0,1,0,0,0,0,1,1,0,2,2,2,2,1,1,0,0,2,1,0,0,1
0,2,1,3,1,11,13,11,2,2,1,0,0,2,0,0,1,1,2,2,1,1,1,1,1,2,2,0,0,3,3,0,1,0
0,1,4,2,2,7,8,58,3,0,0,0,1,2,0,0,0,0,1,1,0,3,2,2,2,0,0,1,0,2,2,0,1,0
0,1,1,2,2,6,13,11,2,2,1,1,1,3,1,1,1,1,1,3,1,2,2,2,2,1,1,0,0,2,2,0,1,0
0,1,1,1,1,11,6,51,2,1,1,0,0,2,1,1,1,1,1,3,1,2,2,1,2,0,1,0,1,3,2,1,0,1
1,1,1,1,1,3,13,46,1,0,1,0,0,1,1,1,0,1,1,3,1,2,2,2,2,1,1,1,0,2,2,0,0,1
1,1,2,1,1,3,19,33,1,1,1,1,1,1,1,1,0,1,1,2,1,3,2,1,3,1,0,1,0,2,2,0,1,0
1,1,2,1,1,1,6,52,1,1,1,0,0,1,0,0,0,0,1,1,0,1,3,2,1,2,2,0,0,1,1,0,0,1
1,2,2,2,2,3,1,2,3,1,1,1,1,3,1,1,2,1,2,3,1,2,2,1,2,1,1,1,0,2,2,1,1,0
1,1,2,2,2,7,8,58,2,0,1,0,0,1,1,1,3,1,1,3,1,2,2,1,3,1,1,1,0,1,3,0,0,1
0,1,2,1,1,1,0,0,1,0,0,0,0,2,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,2,2,1,0,1
